Geo Point;Geo Shape;gml_id;GID;GEOM_O;ADRESSE;TYPE;HANDI;CDATE;MDATE
44.839055559442095, -0.5821111496591248;"{""coordinates"": [-0.582111149659125, 44.839055559442095], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5925;5925;0;Place du Colonel Raynal;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.82402779412151, -0.5507221853292747;"{""coordinates"": [-0.550722185329275, 44.82402779412151], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5931;5931;0;Place Ferdinand Buisson;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.84005555936586, -0.5598610949317736;"{""coordinates"": [-0.559861094931774, 44.84005555936586], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5932;5932;0;Place Stalingrad Nord;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.86316665022169, -0.5607221611475917;"{""coordinates"": [-0.560722161147592, 44.86316665022169], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5933;5933;0;Place John Lewis Brown;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2023-01-20T01:00:00+01:00
44.83494443427536, -0.5631389168923595;"{""coordinates"": [-0.56313891689236, 44.83494443427536], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5937;5937;0;Quai de la Grave (rink hockey);SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.895527784946566, -0.5660833523752452;"{""coordinates"": [-0.566083352375245, 44.895527784946566], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5940;5940;0;Stade Matmut 2;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2023-01-20T01:00:00+01:00
44.8438888712655, -0.5743888630131566;"{""coordinates"": [-0.574388863013157, 44.8438888712655], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5946;5946;0;Allées d'Orléans;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.87777780036603, -0.5792500589574547;"{""coordinates"": [-0.579250058957455, 44.87777780036603], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5950;5950;0;Plage du Lac;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.857583333043706, -0.6226667153458494;"{""coordinates"": [-0.622666715345849, 44.857583333043706], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5956;5956;0;Place des Pins Francs;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.8136010268473, -0.5662953999166099;"{""coordinates"": [-0.56629539991661, 44.8136010268473], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5965;5965;0;jardin des barrières;SANITAIRE_AUTOMATIQUE;OUI;2020-09-10T15:24:47+02:00;2023-01-20T14:25:04+01:00
